,bioma,riscofogo,precipitacao
2014-11-01,Amazonia,2302.0,0.17322291235334877
2014-11-02,Amazonia,1453.0,0.32752201257861724
2014-11-03,Amazonia,473.0,3.8341978866474853
2014-11-04,Amazonia,298.0,3.161316348195338
2014-11-05,Amazonia,789.0,1.9160863509749322
2014-11-06,Amazonia,1659.0,0.2631920199501257
2014-11-07,Amazonia,854.0,0.7728137577753339
2014-11-08,Amazonia,613.0,3.1614065780266327
2014-11-09,Amazonia,1126.0,0.951685855263149
2014-11-10,Amazonia,1525.0,0.42949269131556156
2014-11-11,Amazonia,1835.0,0.3899559471365631
2014-11-12,Amazonia,1002.0,1.211144219308685
2014-11-13,Amazonia,705.0,1.7445789763346082
2014-11-14,Amazonia,1663.0,0.5360298177802316
2014-11-15,Amazonia,1638.0,0.5109291160689049
2014-11-16,Amazonia,1350.0,1.4728694292415891
2014-11-17,Amazonia,644.0,2.7731808731808747
2014-11-18,Amazonia,1039.0,1.3864174454828628
2014-11-19,Amazonia,469.0,4.604659248956875
2014-11-20,Amazonia,644.0,2.757859733978234
2014-11-21,Amazonia,887.0,1.0921623123957718
2014-11-22,Amazonia,1341.0,0.4526392428103407
2014-11-23,Amazonia,1232.0,0.518333333333334
2014-11-24,Amazonia,1110.0,0.6555466237942127
2014-11-25,Amazonia,2562.0,0.0690035799522675
2014-11-26,Amazonia,1839.0,0.2794382022471871
2014-11-27,Amazonia,2086.0,0.6011743034768541
2014-11-28,Amazonia,2104.0,0.26456800218043236
2014-11-29,Amazonia,981.0,0.325287356321841
2014-11-30,Amazonia,1814.0,0.20292819895708106
2014-12-01,Amazonia,1780.0,0.4800853788687255
2014-12-02,Amazonia,3200.0,0.11666947581324891
2014-12-03,Amazonia,2130.0,0.5969147894221264
2014-12-04,Amazonia,1226.0,4.387286821705454
2014-12-05,Amazonia,170.0,1.7719017094017029
2014-12-06,Amazonia,310.0,0.7168341708542705
2014-12-07,Amazonia,435.0,0.4332865168539353
2014-12-08,Amazonia,285.0,0.47443280977312485
2014-12-09,Amazonia,501.0,3.7597594819611633
2014-12-10,Amazonia,503.0,1.5830498177399714
2014-12-11,Amazonia,785.0,0.4288542063189965
2014-12-12,Amazonia,442.0,1.6495495495495427
2014-12-13,Amazonia,330.0,1.6935987089833247
2014-12-14,Amazonia,383.0,0.8070193285859594
2014-12-15,Amazonia,362.0,0.5126870990734149
2014-12-16,Amazonia,724.0,0.6264138389886859
2014-12-17,Amazonia,747.0,2.6077126487439837
2014-12-18,Amazonia,904.0,1.167042253521121
2014-12-19,Amazonia,387.0,1.0901694915254192
2014-12-20,Amazonia,1070.0,0.7077368638808436
2014-12-21,Amazonia,576.0,0.4094858797972486
2014-12-22,Amazonia,771.0,0.7708208208208134
2014-12-23,Amazonia,458.0,1.103684598378774
2014-12-24,Amazonia,410.0,1.3063610851262795
2014-12-25,Amazonia,217.0,2.1466804979253125
2014-12-26,Amazonia,444.0,1.184635193133048
2014-12-27,Amazonia,1056.0,0.3461075725406964
2014-12-28,Amazonia,680.0,0.8435871231476723
2014-12-29,Amazonia,231.0,4.134695912263204
2014-12-30,Amazonia,643.0,2.1467208947635994
2014-12-31,Amazonia,260.0,2.894047619047613
2014-01-01,Caatinga,94.0,0.008843537414965987
2014-01-02,Caatinga,301.0,0.241090146750524
2014-01-03,Caatinga,252.0,0.225
2014-01-04,Caatinga,277.0,0.023303834808259587
2014-01-05,Caatinga,70.0,0.09719626168224299
2014-01-06,Caatinga,72.0,1.6919642857142854
2014-01-07,Caatinga,96.0,0.25609756097560976
2014-01-08,Caatinga,226.0,0.7017730496453898
2014-01-09,Caatinga,100.0,0.7447154471544717
2014-01-10,Caatinga,95.0,1.4234375000000004
2014-01-11,Caatinga,170.0,0.27172131147540995
2014-01-12,Caatinga,20.0,1.7833333333333334
2014-01-13,Caatinga,47.0,1.5426229508196723
2014-01-14,Caatinga,19.0,1.4432432432432432
2014-01-15,Caatinga,99.0,0.7306122448979593
2014-01-16,Caatinga,64.0,1.2041322314049587
2014-01-17,Caatinga,146.0,0.2845410628019325
2014-01-18,Caatinga,143.0,0.7205240174672484
2014-01-19,Caatinga,29.0,0.06285714285714286
2014-01-20,Caatinga,58.0,0.08208955223880596
2014-01-21,Caatinga,77.0,0.5043956043956043
2014-01-22,Caatinga,121.0,0.38011695906432763
2014-01-23,Caatinga,173.0,0.1263392857142857
2014-01-24,Caatinga,192.0,0.050234741784037536
